US1134,36032881,"UX - Sprint 0",COMPLETED,0,Sprint 0
US1017,35991862,"Add Look up Values",COMPLETED,0,Sprint 1
US1018,35991915,"Edit Look up Values",COMPLETED,0,Sprint 1
US1019,35991968,"Inactive / Delete Look Ups",COMPLETED,0,Sprint 1
US1024,35992786,"As a user, I can view the Work Product List to find work products that are applicable to me",COMPLETED,0,Sprint 1
US1048,35995575,"Provide Link to SCG Source",COMPLETED,0,Sprint 1
US1071,36001119,"View lookup values",COMPLETED,0,Sprint 1
US1083,36007505,"Sort Work Product List",COMPLETED,0,Sprint 1
US1087,36012298,"UX - Sprint 1",COMPLETED,0,Sprint 1
US1131,36032594,"Populate Changelog",COMPLETED,0,Sprint 1
US1160,36047960,"[Unfinished] Filter Work Product List",COMPLETED,0,Sprint 1
US935,35987223,"View work product details",COMPLETED,0,Sprint 2
US943,35987727,"Work Product Owner Delete Work Product",COMPLETED,0,Sprint 2
US944,35987780,"Work Product Owner Edit Work Product",COMPLETED,0,Sprint 2
US986,35990102,"View Contract List",COMPLETED,0,Sprint 2
US999,35990828,"View My Contracts List",COMPLETED,0,Sprint 2
US1020,35992550,"Upload DID",COMPLETED,0,Sprint 2
US1027,35993155,"User Create Work Product",COMPLETED,0,Sprint 2
US1045,35995411,"Download DID",COMPLETED,0,Sprint 2
US1067,36000822,"Filter contracts list",COMPLETED,0,Sprint 2
US1068,36000878,"View DID list",COMPLETED,0,Sprint 2
US1137,36034683,"Sort Contracts list",COMPLETED,0,Sprint 2
US1494,36110495,"UX Tasks - Sprint 2",COMPLETED,0,Sprint 2
US1681,36156560,"[Unfinished] [Unfinished] [Continued] Filter Work Product List",COMPLETED,0,Sprint 2
US936,35987276,"View Associated Contract to WP",COMPLETED,0,Sprint 3
US941,35987621,"User Save As/Clone Work Product",DEFINED,0,Sprint 3
US942,35987674,"Work Product Owner Archive Work Product",COMPLETED,0,Sprint 3
US948,35987985,"View Work Product Subscriptions List",IN_PROGRESS,0,Sprint 3
US949,35988046,"Add Subscribers",IN_PROGRESS,0,Sprint 3
US952,35988270,"Filter Archived Work Product List",DEFINED,0,Sprint 3
US958,35988613,"View Archived Work Product List",DEFINED,0,Sprint 3
US964,35988901,"Create Contract",DEFINED,0,Sprint 3
US970,35989237,"Edit Contract",IN_PROGRESS,0,Sprint 3
US987,35990163,"View Contract",COMPLETED,0,Sprint 3
US1009,35991425,"Answer Questions for Contract Artifacts",COMPLETED,0,Sprint 3
